"dataset","family","method","source","available"
"FashionMNIST","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"FashionMNIST","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/plots/FashionMNIST_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"FashionMNIST","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/python/cpu4/20260721_084502_1071212/seed_4/plots/FashionMNIST_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"FashionMNIST","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/plots/FashionMNIST_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"FashionMNIST","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_umap_package_threads4_seed4.png",TRUE
"FashionMNIST","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_uwot_default_threads4_seed4.png",TRUE
"FashionMNIST","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_uwot_fast_sgd_threads4_seed4.png",TRUE
"FashionMNIST","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"FashionMNIST","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"FashionMNIST","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/plots/FashionMNIST_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"FashionMNIST","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/plots/FashionMNIST_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"FashionMNIST","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/python/cpu4/20260721_084502_1071212/seed_4/plots/FashionMNIST_python_umap_learn_threads4_seed4.png",TRUE
"FashionMNIST","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/plots/FashionMNIST_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","tsne","Rtsne",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu4/20260727_073247_1118057/plots/FlowRepository_FR-FCM-ZYRM_files_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu4/20260727_073247_1118057/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","tsne","Python openTSNE",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/plots/FlowRepository_FR-FCM-ZYRM_files_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","umap","umap",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","uwot",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","uwot fast SGD",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","fastEmbedR fuzzy [CPU]",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","fastEmbedR binary [CPU]",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"FlowRepository_FR-FCM-ZYRM_files","umap","Python umap-learn",,FALSE
"FlowRepository_FR-FCM-ZYRM_files","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/plots/FlowRepository_FR-FCM-ZYRM_files_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"flow18","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_Rtsne_full_threads4_seed4.png",TRUE
"flow18","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"flow18","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"flow18","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/plots/flow18_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"flow18","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/python/cpu4/20260721_084502_1071213/seed_4/plots/flow18_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"flow18","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/plots/flow18_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"flow18","umap","umap",,FALSE
"flow18","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_uwot_default_threads4_seed4.png",TRUE
"flow18","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_uwot_fast_sgd_threads4_seed4.png",TRUE
"flow18","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"flow18","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/plots/flow18_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"flow18","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/plots/flow18_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"flow18","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/plots/flow18_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"flow18","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/python/cpu4/20260721_084502_1071213/seed_4/plots/flow18_python_umap_learn_threads4_seed4.png",TRUE
"flow18","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/plots/flow18_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"MNIST","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_Rtsne_full_threads4_seed4.png",TRUE
"MNIST","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"MNIST","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"MNIST","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/plots/MNIST_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"MNIST","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/python/cpu4/20260721_084502_1071219/seed_4/plots/MNIST_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"MNIST","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/plots/MNIST_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"MNIST","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_umap_package_threads4_seed4.png",TRUE
"MNIST","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_uwot_default_threads4_seed4.png",TRUE
"MNIST","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_uwot_fast_sgd_threads4_seed4.png",TRUE
"MNIST","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"MNIST","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/plots/MNIST_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"MNIST","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/plots/MNIST_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"MNIST","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/plots/MNIST_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"MNIST","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/python/cpu4/20260721_084502_1071219/seed_4/plots/MNIST_python_umap_learn_threads4_seed4.png",TRUE
"MNIST","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/plots/MNIST_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"imagenet","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_Rtsne_full_threads4_seed4.png",TRUE
"imagenet","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"imagenet","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"imagenet","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/plots/imagenet_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"imagenet","tsne","Python openTSNE",,FALSE
"imagenet","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/plots/imagenet_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"imagenet","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_umap_package_threads4_seed4.png",TRUE
"imagenet","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_uwot_default_threads4_seed4.png",TRUE
"imagenet","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_uwot_fast_sgd_threads4_seed4.png",TRUE
"imagenet","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"imagenet","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260727_073247_1118058/plots/imagenet_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"imagenet","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/plots/imagenet_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"imagenet","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/plots/imagenet_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"imagenet","umap","Python umap-learn",,FALSE
"imagenet","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/plots/imagenet_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"MetRef","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_Rtsne_full_threads4_seed4.png",TRUE
"MetRef","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"MetRef","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"MetRef","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/plots/MetRef_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"MetRef","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/python/cpu4/20260721_084502_1071218/seed_4/plots/MetRef_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"MetRef","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/plots/MetRef_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"MetRef","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_umap_package_threads4_seed4.png",TRUE
"MetRef","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_uwot_default_threads4_seed4.png",TRUE
"MetRef","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_uwot_fast_sgd_threads4_seed4.png",TRUE
"MetRef","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"MetRef","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/plots/MetRef_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"MetRef","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/plots/MetRef_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"MetRef","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/plots/MetRef_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"MetRef","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/python/cpu4/20260721_084502_1071218/seed_4/plots/MetRef_python_umap_learn_threads4_seed4.png",TRUE
"MetRef","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/plots/MetRef_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"mass41","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_Rtsne_full_threads4_seed4.png",TRUE
"mass41","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"mass41","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"mass41","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/plots/mass41_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"mass41","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/python/cpu4/20260721_084502_1071217/seed_4/plots/mass41_python_opentsne_fft_direct_threads4_seed4.png",TRUE
